categories,city,name,reviews.date,reviews.rating
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-10-15,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-08-13,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-09-07,3.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-10-25,5.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-09-24,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-09-26,5.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-09-06,5.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2011-10-25,5.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-10-04,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-06-18,3.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-08-06,5.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-06-13,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2015-10-24,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-03-29,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-05-24,4.0
Hotels,San Diego,Sheraton Mission Valley San Diego Hotel,2016-01-02,4.0
Hotels,San Diego,Porto Vista Hotel,2016-08-13,4.5
Hotels,San Diego,Porto Vista Hotel,2016-08-30,3.9
Hotels,San Diego,Porto Vista Hotel,2016-04-06,5.0
Hotels,San Diego,Porto Vista Hotel,2016-03-14,1.3
"Government Contractors,Bed & Breakfasts,Hotels,Extended Stay Hotels",San Diego,Extended Stay America,2016-08-05,1.0
"Government Contractors,Bed & Breakfasts,Hotels,Extended Stay Hotels",San Diego,Extended Stay America,2016-06-25,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-06-20,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2011-11-15,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2013-07-30,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2011-12-14,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-13,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-08-19,5.0
